datetime,000651.SZ,002294.SZ,002572.SZ,300376.SZ,300498.SZ,601318.SH,cash,commission,total,returns,equity_curve,drawdown
2017-03-23,17547.202823399508,8532.53666960015,16222.008761166164,15727.903878644283,0.0,7044.363038547693,35302.33326589869,17.171,100376.34843725649,-0.013579509784939492,1.003763484372565,0.013818261271955512
2017-03-24,17738.41469256609,8497.570334328128,16234.061713675708,15535.394335169676,0.0,7040.509771965608,35302.33326589869,17.171,100348.28411360389,-0.0002795910001660573,1.003482841136039,0.014098904508481391
2017-03-27,17271.61057151652,8462.602832402368,16038.81465344533,15480.399039223175,0.0,7077.106341760285,35302.33326589869,17.171,99632.86670424636,-0.007129343721987369,0.9963286670424638,0.021253078602056608
2017-03-28,17322.233662101637,8430.546492873227,16246.116332841113,0.0,0.0,7075.181368835327,50779.48230512187,20.421,99853.56016177317,0.00221506682309891,0.9985356016177319,0.019046144026788503
2017-03-29,17547.19751067135,8410.144570360475,16224.42776753677,0.0,0.0,7084.810690678311,50779.48230512187,20.421,100046.06284436877,0.001927849966327999,1.0004606284436879,0.017121117200832536
2017-03-30,17277.233876969673,8302.318106823885,0.0,0.0,0.0,7079.029485154718,67000.77707265865,23.554,99659.35854160693,-0.0038652625777328975,0.9965935854160693,0.02098816022845107
2017-03-31,17828.39491487888,8319.802788756853,0.0,0.0,0.0,7129.113618762188,67000.77707265865,23.554,100278.08839505658,0.006208447079170565,1.0027808839505659,0.014800861693954559
2017-04-05,17693.416136978332,0.0,11005.03311961503,0.0,0.0,7146.451623083019,64288.87798383848,29.417,100133.77886351486,-0.0014390933637784542,1.0013377886351487,0.016243957009371757
2017-04-06,17997.12362496957,0.0,10867.415180454243,0.0,0.0,7119.480914657503,64288.87798383848,29.417,100272.89770391979,0.0013893297744664856,1.0027289770391978,0.014852768605322586
2017-04-07,17890.256704884498,0.0,10905.820625701966,9902.916301719479,0.0,7050.137170548739,53688.67506380445,31.51,99437.80586665912,-0.008328190930778523,0.9943780586665911,0.023203686977929294
2017-04-10,17727.151234506066,0.0,10933.019742342467,0.0,0.0,7021.24570842383,63589.49836552393,33.603,99270.91505079629,-0.001678343708494734,0.9927091505079628,0.024872595136557596
2017-04-11,17339.086166831494,0.0,10817.79664727792,0.0,0.0,6971.163162785643,63589.49836552393,33.603,98717.54434241899,-0.0055743488220507675,0.9871754434241897,0.030406302220330694
2017-04-12,17327.83309990922,10428.41859445279,10700.975261283967,0.0,0.0,0.0,60071.46679299089,40.753,98528.69374863686,-0.0019130398252925618,0.9852869374863684,0.032294808158152
2017-04-13,17575.291884409024,10453.446799079476,0.0,0.0,0.0,0.0,70770.36205427485,42.833,98799.10073776337,0.0027444491430725915,0.9879910073776335,0.029590738266886962
2017-04-14,0.0,10435.571405053051,0.0,0.0,0.0,0.0,88341.15793868387,47.329,98776.72934373692,-0.00022643317458748147,0.987767293437369,0.0298144522071514
2017-04-17,0.0,10367.64627077756,0.0,0.0,0.0,0.0,88341.15793868387,47.329,98708.80420946144,-0.0006876633264411014,0.9870880420946142,0.030493703549906215
2017-04-18,0.0,10510.647215790395,0.0,0.0,0.0,0.0,88341.15793868387,47.329,98851.80515447426,0.0014487151998050507,0.9885180515447425,0.029063694099777937
2017-04-19,0.0,10442.716902834742,14442.49473323971,0.0,0.0,0.0,73777.88377527041,49.89,98663.09541134487,-0.0019090166622096616,0.9866309541134486,0.03095079153107183
